bs,input_toks,output_toks,ttft,throughput,subset,model
1,16,32,1.1038780212402344,12234.277912015223,ttft,gpt
1,32,32,1.236259937286377,11974.845777221533,ttft,gpt
1,48,32,1.1430978775024414,12337.76499575276,ttft,gpt
1,64,32,1.098930835723877,12412.839203684853,ttft,gpt
1,80,32,1.1927485466003418,12722.692788023895,ttft,gpt
1,96,32,1.1182427406311035,12073.558064565053,ttft,gpt
1,112,32,1.2432336807250977,11994.614749421944,ttft,gpt
1,128,32,1.0741353034973145,12201.923755696986,ttft,gpt
1,144,32,1.3113617897033691,11919.992204544547,ttft,gpt
1,160,32,1.2884736061096191,11885.776479202379,ttft,gpt
1,176,32,1.1116862297058105,12278.190690846173,ttft,gpt
1,192,32,1.1112093925476074,12206.814974682899,ttft,gpt
1,208,32,1.1674165725708008,12118.936157875658,ttft,gpt
1,224,32,1.1475682258605957,12172.276052208852,ttft,gpt
1,240,32,1.0713934898376465,12435.960193990453,ttft,gpt
1,256,32,1.1603832244873047,12100.018442872211,ttft,gpt
1,272,32,1.1521577835083008,12288.85498726582,ttft,gpt
1,288,32,1.1178255081176758,12185.793617232597,ttft,gpt
1,304,32,1.1510252952575684,12158.804873938545,ttft,gpt
1,320,32,1.1643767356872559,12128.581136759592,ttft,gpt
1,336,32,1.2755990028381348,11734.210701947593,ttft,gpt
1,352,32,1.1541247367858887,12157.27888239457,ttft,gpt
1,368,32,1.164555549621582,11978.233746364967,ttft,gpt
1,384,32,1.1358261108398438,12310.55402741229,ttft,gpt
1,400,32,1.1322498321533203,12199.172075894998,ttft,gpt
1,416,32,1.196742057800293,12136.692902515359,ttft,gpt
1,432,32,1.2932419776916504,11884.301257818748,ttft,gpt
1,448,32,1.1316537857055664,12158.242726611235,ttft,gpt
1,464,32,1.123189926147461,12074.388127505285,ttft,gpt
1,480,32,1.1571049690246582,12646.022586517793,ttft,gpt
1,496,32,1.1491179466247559,12435.045942103206,ttft,gpt
1,512,32,1.26725435256958,12038.982196057088,ttft,gpt
1,528,32,1.2173056602478027,11861.228485071937,ttft,gpt
1,544,32,1.1956095695495605,11943.478097486211,ttft,gpt
1,560,32,1.1946558952331543,12407.969243812462,ttft,gpt
1,576,32,1.12992525100708,12113.22407798166,ttft,gpt
1,592,32,1.1191964149475098,12380.2348918467,ttft,gpt
1,608,32,1.215815544128418,11660.559787709897,ttft,gpt
1,624,32,1.1008381843566895,12310.474332923854,ttft,gpt
1,640,32,1.2815594673156738,11691.918755004966,ttft,gpt
1,656,32,1.1917352676391602,11765.249079135181,ttft,gpt
1,672,32,1.1348724365234375,11741.21618423273,ttft,gpt
1,688,32,1.146256923675537,11755.759490409142,ttft,gpt
1,704,32,1.1731982231140137,11607.513855365027,ttft,gpt
1,720,32,1.136481761932373,11694.206639795495,ttft,gpt
1,736,32,1.1020302772521973,11904.016842462393,ttft,gpt
1,752,32,1.1513233184814453,11652.537863950181,ttft,gpt
1,768,32,1.1275410652160645,11703.361818786936,ttft,gpt
1,784,32,1.153409481048584,11658.502671386479,ttft,gpt
1,800,32,1.1423826217651367,12130.238361107802,ttft,gpt
1,816,32,1.284778118133545,11471.55946897928,ttft,gpt
1,832,32,1.1458992958068848,11834.248668677941,ttft,gpt
1,848,32,1.185595989227295,11690.153544596751,ttft,gpt
1,864,32,1.1592507362365723,11640.644109866986,ttft,gpt
1,880,32,1.1292099952697754,11752.257609554425,ttft,gpt
1,896,32,1.1525750160217285,11626.729086131958,ttft,gpt
1,912,32,1.1482834815979004,11664.760092545093,ttft,gpt
1,928,32,1.130521297454834,11790.421821168578,ttft,gpt
1,944,32,1.1931061744689941,11734.563620328132,ttft,gpt
1,960,32,1.1635422706604004,11713.702197843651,ttft,gpt
1,976,32,1.171112060546875,11619.749504087444,ttft,gpt
1,32,16,1.1013150215148926,11345.645958073661,throughput,gpt
1,32,32,1.1345148086547852,12574.088059762387,throughput,gpt
1,32,48,1.1320114135742188,12727.021463903027,throughput,gpt
1,32,64,1.1640191078186035,12892.883009458827,throughput,gpt
1,32,80,1.2976527214050293,12712.418893330685,throughput,gpt
1,32,96,1.2108683586120605,7965.676040073446,throughput,gpt
1,32,112,1.1115074157714844,3805.6353896989986,throughput,gpt
1,32,128,1.0935664176940918,2731.6447673597922,throughput,gpt
1,32,144,1.379549503326416,2243.9591579987905,throughput,gpt
1,32,160,1.1501312255859375,1965.409385319701,throughput,gpt
1,32,176,1.2285113334655762,1783.9092212160547,throughput,gpt
1,32,192,1.2134313583374023,1656.2826880567277,throughput,gpt
1,32,208,1.295924186706543,1561.8532952163687,throughput,gpt
1,32,224,1.2963414192199707,1486.8817589144005,throughput,gpt
1,32,240,1.2704730033874512,1430.4929421419447,throughput,gpt
1,32,256,1.3197064399719238,1382.4536216801323,throughput,gpt
1,32,272,1.3480186462402344,1343.6055943635793,throughput,gpt
1,32,288,1.3704299926757812,1311.200978948389,throughput,gpt
1,32,304,1.3625025749206543,1283.3757570596085,throughput,gpt
1,32,320,1.386582851409912,1259.6495068451745,throughput,gpt
1,32,336,1.3677477836608887,1237.3901412865066,throughput,gpt
1,32,352,1.2562274932861328,1219.4546317348959,throughput,gpt
1,32,368,1.362919807434082,1203.375160763997,throughput,gpt
1,32,384,1.350700855255127,1188.2033181978861,throughput,gpt
1,32,400,1.3734102249145508,1175.0798049956559,throughput,gpt
1,32,416,1.3970136642456055,1163.0114822330243,throughput,gpt
1,32,432,1.3145208358764648,1152.1904330153322,throughput,gpt
1,32,448,1.4232993125915527,1142.4793591076418,throughput,gpt
1,32,464,1.3369321823120117,1133.7005828745678,throughput,gpt
1,32,480,1.3281702995300293,1125.3071080217628,throughput,gpt
1,32,496,1.4188289642333984,1116.8636405918292,throughput,gpt
1,32,512,1.4192461967468262,1110.225642979955,throughput,gpt
