bs,input_toks,output_toks,ttft,throughput,subset,model
1,16,32,3.8555264472961426,2945.931804726608,ttft,gpt
1,32,32,3.81314754486084,2976.644593006593,ttft,gpt
1,48,32,3.4397244453430176,3044.652270075056,ttft,gpt
1,64,32,3.578484058380127,3015.493245073993,ttft,gpt
1,80,32,3.9005279541015625,2995.716931774899,ttft,gpt
1,96,32,3.8126707077026367,2995.467028928339,ttft,gpt
1,112,32,3.9295554161071777,2957.989507694265,ttft,gpt
1,128,32,3.5969018936157227,3038.3608391546422,ttft,gpt
1,144,32,3.573894500732422,3020.0176033591224,ttft,gpt
1,160,32,3.699004650115967,3004.2362653420128,ttft,gpt
1,176,32,3.9327144622802734,2881.9149475762915,ttft,gpt
1,192,32,3.855109214782715,2897.1545533218514,ttft,gpt
1,208,32,3.563046455383301,3024.4397417073596,ttft,gpt
1,224,32,3.5829544067382812,3024.0876745431,ttft,gpt
1,240,32,3.755509853363037,2993.571711255807,ttft,gpt
1,256,32,3.809630870819092,2974.4256040473847,ttft,gpt
1,272,32,3.6380887031555176,3037.3993406853115,ttft,gpt
1,288,32,3.435492515563965,3022.055983211863,ttft,gpt
1,304,32,3.754734992980957,2992.8077086574554,ttft,gpt
1,320,32,3.736257553100586,2982.425961245711,ttft,gpt
1,336,32,3.85439395904541,2963.9509034295975,ttft,gpt
1,352,32,3.505229949951172,3035.477778204296,ttft,gpt
1,368,32,3.594696521759033,2988.290328222733,ttft,gpt
1,384,32,3.88258695602417,2932.995429678959,ttft,gpt
1,400,32,3.6801695823669434,3000.429413970018,ttft,gpt
1,416,32,3.8408637046813965,2963.142751771711,ttft,gpt
1,432,32,3.8190484046936035,2962.5709390714774,ttft,gpt
1,448,32,3.816843032836914,2754.2666610730184,ttft,gpt
1,464,32,3.751218318939209,2926.9530244840603,ttft,gpt
1,480,32,3.9680004119873047,2911.692043639752,ttft,gpt
1,496,32,3.809034824371338,2925.8679406551637,ttft,gpt
1,512,32,3.8469433784484863,2923.9113661774445,ttft,gpt
1,528,32,3.8573145866394043,2892.0305371049317,ttft,gpt
1,544,32,4.049420356750488,2829.465894100494,ttft,gpt
1,560,32,3.4111738204956055,2981.0875490389544,ttft,gpt
1,576,32,3.494381904602051,2981.657597127417,ttft,gpt
1,592,32,3.9770007133483887,2872.4084162030576,ttft,gpt
1,608,32,3.828763961791992,2893.307945511656,ttft,gpt
1,624,32,3.4762024879455566,3003.9575188214862,ttft,gpt
1,640,32,3.6019086837768555,2970.6955415096863,ttft,gpt
1,656,32,3.8163065910339355,2958.367142302621,ttft,gpt
1,672,32,3.8293004035949707,2944.9071145917187,ttft,gpt
1,688,32,3.675699234008789,2975.2980011441664,ttft,gpt
1,704,32,3.793776035308838,2969.085517864539,ttft,gpt
1,720,32,3.7841200828552246,2975.530449213986,ttft,gpt
1,736,32,3.9842724800109863,2915.564368565199,ttft,gpt
1,752,32,3.91310453414917,2919.2869014334065,ttft,gpt
1,768,32,3.7201642990112305,2939.4581505994774,ttft,gpt
1,784,32,3.6722421646118164,2946.898000893064,ttft,gpt
1,800,32,3.801286220550537,2940.9634048807306,ttft,gpt
1,816,32,3.879666328430176,2907.673416098339,ttft,gpt
1,832,32,3.6109089851379395,2964.2041779500587,ttft,gpt
1,848,32,3.659844398498535,2955.7322446737517,ttft,gpt
1,864,32,3.8416385650634766,2947.420777847542,ttft,gpt
