bs,input_toks,output_toks,ttft,throughput,subset,model
1.0,16.0,32.0,1.2494325637817383,11206.012379818543,ttft,gpt
1.0,48.0,32.0,1.1718273162841797,11264.063801409238,ttft,gpt
1.0,80.0,32.0,1.2151598930358887,11248.857073029481,ttft,gpt
1.0,112.0,32.0,1.1708736419677734,11283.274665695775,ttft,gpt
1.0,144.0,32.0,1.0963678359985352,11362.734583923517,ttft,gpt
1.0,176.0,32.0,1.1299848556518555,11383.097574482494,ttft,gpt
1.0,208.0,32.0,1.275956630706787,10914.781509770384,ttft,gpt
1.0,240.0,32.0,1.159071922302246,11062.858300730044,ttft,gpt
1.0,272.0,32.0,1.1636018753051758,11219.49645326471,ttft,gpt
1.0,304.0,32.0,1.1306405067443848,11367.862926707558,ttft,gpt
1.0,336.0,32.0,1.1193156242370605,11371.581659684969,ttft,gpt
1.0,368.0,32.0,1.1487603187561035,11360.10084180972,ttft,gpt
1.0,400.0,32.0,1.1019110679626465,11486.124221239173,ttft,gpt
1.0,432.0,32.0,1.1391639709472656,11210.170368487445,ttft,gpt
1.0,464.0,32.0,1.13677978515625,11292.272151155135,ttft,gpt
1.0,496.0,32.0,1.1181235313415527,11451.232099280209,ttft,gpt
1.0,528.0,32.0,1.135706901550293,11061.442393689458,ttft,gpt
1.0,560.0,32.0,1.2129545211791992,10900.347010757727,ttft,gpt
1.0,592.0,32.0,1.1562108993530273,11371.926403815341,ttft,gpt
1.0,624.0,32.0,1.14363431930542,11045.722894518163,ttft,gpt
1.0,656.0,32.0,1.123666763305664,11019.43645657231,ttft,gpt
1.0,688.0,32.0,1.0697245597839355,11079.300880116978,ttft,gpt
1.0,720.0,32.0,1.0957717895507812,11198.840773783597,ttft,gpt
1.0,752.0,32.0,1.0968446731567383,10868.830374588424,ttft,gpt
1.0,784.0,32.0,1.080632209777832,11140.337605945988,ttft,gpt
1.0,816.0,32.0,1.0771751403808594,10913.608911381014,ttft,gpt
1.0,848.0,32.0,1.088857650756836,10977.091994470968,ttft,gpt
1.0,880.0,32.0,1.2260079383850098,10891.480520246087,ttft,gpt
1.0,912.0,32.0,1.1619329452514648,10628.704784381887,ttft,gpt
1.0,944.0,32.0,1.0960698127746582,10904.27010778631,ttft,gpt
1.0,976.0,32.0,1.0640621185302734,11050.784992565485,ttft,gpt
1.0,32.0,16.0,1.1681318283081055,10527.232950365677,throughput,gpt
1.0,32.0,48.0,1.1926889419555664,11614.711260902095,throughput,gpt
1.0,32.0,80.0,1.1778473854064941,12124.842134109476,throughput,gpt
1.0,32.0,112.0,1.2226104736328125,3801.646500985341,throughput,gpt
1.0,32.0,144.0,1.0845661163330078,2244.683473623234,throughput,gpt
1.0,32.0,176.0,1.1631250381469727,1778.592507722691,throughput,gpt
1.0,32.0,208.0,1.268148422241211,1559.130692671064,throughput,gpt
1.0,32.0,240.0,1.2606382369995117,1421.7787828707212,throughput,gpt
1.0,32.0,272.0,1.188337802886963,1342.0194658590663,throughput,gpt
1.0,32.0,304.0,1.2891292572021484,1278.1400233754662,throughput,gpt
1.0,32.0,336.0,1.362621784210205,1233.3271856283345,throughput,gpt
1.0,32.0,368.0,1.3152360916137695,1198.766542526699,throughput,gpt
1.0,32.0,400.0,1.3230443000793457,1170.9509281671162,throughput,gpt
1.0,32.0,432.0,1.3481974601745605,1148.7973019896979,throughput,gpt
1.0,32.0,464.0,1.379251480102539,1129.5481828879692,throughput,gpt
1.0,32.0,496.0,1.368105411529541,1111.8335232889713,throughput,gpt
1.0,32.0,528.0,1.3317465782165527,1098.4237182670543,throughput,gpt
1.0,32.0,560.0,1.3786554336547852,1087.2735481281031,throughput,gpt
1.0,32.0,592.0,1.350104808807373,1076.9326151072898,throughput,gpt
1.0,32.0,624.0,1.4019012451171875,1069.2395185988619,throughput,gpt
1.0,32.0,656.0,1.4854669570922852,1059.9993401046422,throughput,gpt
1.0,32.0,688.0,1.4356374740600586,1053.6332390673488,throughput,gpt
1.0,32.0,720.0,1.4601945877075195,1047.8165689582102,throughput,gpt
1.0,32.0,752.0,1.4368891716003418,1040.8671013383414,throughput,gpt
1.0,32.0,784.0,1.391291618347168,1035.7776044825105,throughput,gpt
1.0,32.0,816.0,1.444101333618164,1032.0388493761902,throughput,gpt
1.0,32.0,848.0,1.3889670372009277,1026.678207017449,throughput,gpt
1.0,32.0,880.0,1.399397850036621,1022.7229085349138,throughput,gpt
1.0,32.0,912.0,1.4472007751464844,1018.1163397805228,throughput,gpt
1.0,32.0,944.0,1.432657241821289,1015.6381461936,throughput,gpt
1.0,32.0,976.0,1.370251178741455,1013.4152709596624,throughput,gpt
